timestamps,TP9,AF7,AF8,TP10,Right AUX
1700204133.274,-202.637,-37.598,-34.180,-146.973,0.000
1700204133.278,18.066,-33.203,-22.461,87.891,0.000
1700204133.282,145.020,-33.203,-19.531,97.168,0.000
1700204133.286,-29.297,-35.156,-24.414,-108.887,0.000
1700204133.290,-245.117,-37.109,-25.391,-215.332,0.000
1700204133.294,-67.871,-36.621,-21.484,4.883,0.000
1700204133.298,141.113,-33.691,-22.461,117.188,0.000
1700204133.302,51.270,-36.621,-26.855,-61.035,0.000
1700204133.306,-221.191,-40.039,-26.367,-240.723,0.000
1700204133.310,-147.949,-39.062,-17.090,-73.242,0.000
1700204133.314,109.863,-40.527,-20.020,107.910,0.000
1700204133.317,104.492,-43.945,-36.133,1.465,0.000
1700204133.321,-158.203,-45.898,-38.086,-213.379,0.000
1700204133.325,-199.707,-43.457,-29.297,-152.344,0.000
1700204133.329,56.152,-36.621,-26.855,84.961,0.000
1700204133.333,138.672,-34.180,-29.297,49.805,0.000
1700204133.337,-74.219,-39.062,-29.297,-166.992,0.000
1700204133.341,-237.793,-39.551,-26.367,-199.219,0.000
1700204133.345,-21.973,-34.668,-23.926,44.434,0.000
1700204133.349,142.090,-35.156,-25.879,90.332,0.000
1700204133.353,-1.465,-41.504,-30.273,-116.699,0.000
1700204133.357,-245.605,-43.457,-29.297,-242.676,0.000
1700204133.360,-106.445,-44.922,-27.832,-31.738,0.000
1700204133.364,102.539,-46.387,-26.855,91.309,0.000
1700204133.368,37.109,-42.969,-27.832,-67.383,0.000
1700204133.372,-224.121,-39.062,-30.762,-245.605,0.000
1700204133.376,-176.270,-39.062,-26.367,-95.703,0.000
1700204133.380,92.285,-35.645,-21.484,114.746,0.000
1700204133.384,122.070,-35.156,-22.461,30.762,0.000
1700204133.388,-135.254,-43.457,-26.367,-183.594,0.000
1700204133.392,-220.703,-44.434,-23.926,-144.531,0.000
1700204133.396,23.438,-38.574,-22.461,82.520,0.000
1700204133.399,131.836,-38.574,-24.414,68.848,0.000
1700204133.403,-56.641,-43.945,-28.809,-135.254,0.000
1700204133.407,-241.211,-43.457,-28.809,-191.406,0.000
1700204133.411,-41.016,-37.598,-28.809,35.156,0.000
1700204133.415,133.789,-38.574,-27.832,97.168,0.000
1700204133.419,6.348,-42.480,-24.414,-86.914,0.000
1700204133.423,-237.793,-44.434,-32.227,-222.168,0.000
1700204133.427,-104.492,-36.133,-28.809,-21.973,0.000
1700204133.431,138.184,-29.785,-18.555,139.160,0.000
1700204133.435,86.914,-33.203,-30.273,0.488,0.000
1700204133.439,-190.430,-39.062,-35.156,-210.938,0.000
1700204133.442,-182.129,-42.480,-31.738,-101.074,0.000
1700204133.446,71.289,-41.016,-32.715,112.305,0.000
1700204133.450,115.234,-37.109,-34.180,32.715,0.000
1700204133.454,-120.605,-39.062,-41.504,-176.270,0.000
1700204133.458,-225.098,-39.062,-37.598,-154.785,0.000
1700204133.462,13.184,-38.574,-23.926,83.496,0.000
1700204133.466,139.160,-46.875,-26.367,103.516,0.000
1700204133.470,-33.691,-45.410,-31.738,-105.469,0.000
1700204133.474,-239.258,-36.133,-27.832,-208.496,0.000
1700204133.478,-62.500,-32.227,-24.902,18.555,0.000
1700204133.482,126.953,-30.762,-21.973,125.977,0.000
1700204133.485,28.320,-28.809,-26.855,-52.246,0.000
1700204133.489,-232.910,-29.297,-31.250,-218.262,0.000
1700204133.493,-143.066,-33.203,-25.391,-40.527,0.000
1700204133.497,103.027,-36.621,-18.555,133.301,0.000
1700204133.501,81.543,-41.016,-20.508,21.973,0.000
1700204133.505,-181.641,-41.504,-18.066,-180.664,0.000
1700204133.509,-195.801,-35.645,-18.066,-96.191,0.000
1700204133.513,62.988,-29.785,-25.879,121.094,0.000
1700204133.517,130.859,-23.926,-26.855,64.453,0.000
1700204133.521,-90.332,-25.879,-31.738,-155.273,0.000
1700204133.524,-223.145,-33.203,-36.133,-171.875,0.000
1700204133.528,4.883,-32.715,-33.691,62.012,0.000
1700204133.532,146.973,-29.297,-33.691,82.031,0.000
1700204133.536,-18.555,-31.250,-35.645,-116.211,0.000
1700204133.540,-249.023,-36.621,-33.691,-223.633,0.000
1700204133.544,-83.984,-34.180,-27.344,-14.160,0.000
1700204133.548,125.488,-31.250,-27.832,93.262,0.000
1700204133.552,47.852,-31.250,-36.133,-55.176,0.000
1700204133.556,-217.285,-29.297,-34.180,-208.984,0.000
1700204133.560,-153.320,-30.762,-29.297,-51.758,0.000
1700204133.564,101.074,-29.297,-29.297,126.465,0.000
1700204133.567,104.004,-23.926,-34.180,24.414,0.000
